time,Integrated_grad_energy,SideFluxIntegral,average_composition,c_time_derivative,chemical_potential_integral,chemical_potential_time_derivative,order_parameter,right,top,total_free_energy
0,0,0,0,0,0,0,0,0,0,0
0.15,0,0,-0.92500000000001,1.6476789068933e-16,-832.50000000001,0.024178041918958,-832.50000000001,-27.75,-30.000588522381,22.697688045569
0.315,0,0,-0.92499999999999,-2.4482345163514e-16,-832.49999999999,-0.020482279902171,-832.49999999999,-27.75,-30.000817311546,21.329087466901
0.4965,0,0,-0.92500000000002,2.5085065197889e-17,-832.50000000002,-0.020574162862304,-832.50000000002,-27.75,-30.000909075824,20.122541111185
0.69615,0,0,-0.92499999999998,-7.4943909103256e-17,-832.49999999998,-0.01172177880396,-832.49999999998,-27.75,-30.000950837182,19.186991260178
0.915765,0,0,-0.92499999999999,-9.6759984284193e-17,-832.49999999999,-0.006378320682217,-832.49999999999,-27.75,-30.000970435433,18.69385716851
1.1134185,0,0,-0.92499999999999,-1.4688096418149e-16,-832.49999999999,-0.0030835541302462,-832.49999999999,-27.75,-30.000976364344,18.502741125034
1.29130665,0,0,-0.92500000000001,-7.325183091273e-17,-832.50000000001,-0.0012774941598578,-832.50000000001,-27.75,-30.000976701965,18.412039141637
1.486983615,0,0,-0.925,2.2217326358283e-16,-832.5,-0.00028395290361048,-832.5,-27.75,-30.000974539111,18.347333106251
1.7022282765,0,0,-0.92500000000003,1.4071016728333e-17,-832.50000000003,0.00010897083727529,-832.50000000003,-27.75,-30.0009710415,18.298170755016
1.93899740415,0,0,-0.92499999999998,-6.871432435397e-19,-832.49999999999,0.0001857686523731,-832.49999999999,-27.75,-30.000967058244,18.261874702296
2.199443444565,0,0,-0.925,1.329617357573e-17,-832.5,0.00015475066164301,-832.5,-27.75,-30.000963125683,18.236979950674
2.4859340890215,0,0,-0.925,7.0755252122675e-17,-832.5,-0.00010662491723915,-832.5,-27.75,-30.000960829266,18.22253636965
2.7437756690323,0,0,-0.92500000000001,-4.6802583389675e-17,-832.50000000001,1.8715329514817e-05,-832.50000000001,-27.75,-30.000959397157,18.21568803636
2.9758330910421,0,0,-0.92500000000001,-7.650054484322e-17,-832.50000000001,5.1022241460438e-05,-832.50000000001,-27.75,-30.000958252856,18.212080853929
3.1846847708509,0,0,-0.92500000000001,-2.0143723446605e-18,-832.50000000001,5.5622418840008e-05,-832.50000000001,-27.75,-30.000957235076,18.209930936162
3.3726512826788,0,0,-0.92500000000001,9.2101186371977e-18,-832.50000000001,5.3038567584239e-05,-832.50000000001,-27.75,-30.000956302212,18.208486708463
3.5794144456895,0,0,-0.92499999999999,-6.1593666591059e-17,-832.49999999999,4.9624002313074e-05,-832.49999999999,-27.75,-30.000955251651,18.207196821955
3.8068539250013,0,0,-0.92499999999998,1.2466561719803e-16,-832.49999999998,4.6928121996108e-05,-832.49999999998,-27.75,-30.000954070284,18.205976789128
4.0570373522442,0,0,-0.92500000000001,6.2906586011684e-17,-832.50000000001,4.5041721016676e-05,-832.50000000001,-27.75,-30.000952747154,18.204759410651
4.3322391222115,0,0,-0.92499999999998,3.8263454136565e-17,-832.49999999998,4.3705172722744e-05,-832.49999999998,-27.75,-30.000951271712,18.20349312262
4.6349610691754,0,0,-0.92500000000002,-3.4980337492348e-17,-832.50000000002,4.2724937244762e-05,-832.50000000002,-27.75,-30.000949632967,18.202139827929
4.9679552108358,0,0,-0.925,-5.8788957920043e-17,-832.5,4.2010763671069e-05,-832.5,-27.75,-30.00094781898,18.200671815745
5.3342487666622,0,0,-0.925,-3.4177909300096e-17,-832.5,4.151359789436e-05,-832.5,-27.75,-30.000945816488,18.199068343067
5.7371716780712,0,0,-0.92500000000001,-3.6754685169598e-17,-832.50000000001,4.1186995982674e-05,-832.50000000001,-27.75,-30.000943610578,18.197312556775
6.1803868806212,0,0,-0.92500000000003,3.3911058158098e-17,-832.50000000003,4.0981872772423e-05,-832.50000000003,-27.75,-30.000941184419,18.195389167003
6.6679236034261,0,0,-0.92499999999999,2.5821373998278e-17,-832.49999999999,4.0853574385331e-05,-832.49999999999,-27.75,-30.000938519057,18.193282949776
7.2042139985116,0,0,-0.92499999999999,6.6958507875311e-17,-832.49999999999,4.0767387969627e-05,-832.49999999999,-27.75,-30.00093559328,18.190977927713
7.7941334331055,0,0,-0.92499999999998,9.9752773797704e-18,-832.49999999999,4.0699583069318e-05,-832.49999999999,-27.75,-30.000932383527,18.188456996738
8.4430448111589,0,0,-0.92500000000003,1.0420844944458e-17,-832.50000000003,4.0635659433908e-05,-832.50000000003,-27.75,-30.000928863831,18.185701795116
9.1568473270176,0,0,-0.925,-2.8061552150609e-17,-832.5,4.0567686272262e-05,-832.5,-27.75,-30.000925005766,18.182692683375
9.9420300944622,0,0,-0.92500000000001,1.7601694750896e-17,-832.50000000001,4.0491770494581e-05,-832.50000000001,-27.75,-30.000920778385,18.179408770913
10.805731138651,0,0,-0.92500000000001,1.3581764851113e-17,-832.50000000001,4.0406081930726e-05,-832.50000000001,-27.75,-30.000916148133,18.175827968175
11.755802287259,0,0,-0.92500000000002,4.3576457004445e-18,-832.50000000002,4.0309543141941e-05,-832.50000000002,-27.75,-30.000911078742,18.171927064743
12.800880550728,0,0,-0.92499999999998,1.1111594666057e-17,-832.49999999999,4.0201107838363e-05,-832.49999999999,-27.75,-30.000905531118,18.167681842404
13.950466640544,0,0,-0.92499999999998,1.6541373260637e-17,-832.49999999998,4.0079454529584e-05,-832.49999999998,-27.75,-30.000899463214,18.163067235799
