time,Integrated_grad_energy,SideFluxIntegral,average_composition,c_time_derivative,chemical_potential_integral,chemical_potential_time_derivative,mobility_integral,order_parameter,right,top,total_free_energy
0,0,0,0,0,0,0,0,0,0,0,0
0.915765,0,0,-0.859375,2.6159366496369e-17,-773.4375,5.6869398454118e-06,13.697862040517,-773.4375,-30.551094547582,-29.999999999436,19.201456347715
2.39061369015,0,0,-0.859375,9.9221439441369e-18,-773.4375,5.6616023449116e-05,13.77384821307,-773.4375,-30.546870838957,-30.000000001901,19.023421502865
4.7658722541235,0,0,-0.859375,4.6781064988224e-18,-773.4375,6.9315253582717e-05,13.997475445219,-773.4375,-30.535396337089,-30.000000004918,18.773182590158
8.5912499239884,0,0,-0.859375,-7.1795830216081e-19,-773.4375,5.8394367608878e-05,14.398155630218,-773.4375,-30.519639760887,-30.000000007498,18.444918694084
14.752058915083,0,0,-0.859375,-5.0585146423206e-18,-773.4375,9.8412211084284e-06,15.005654820676,-773.4375,-30.499818493322,-30.000000006207,18.138950108951
24.67410340333,0,0,-0.859375,-1.3149320650221e-18,-773.4375,-1.0718250980363e-05,15.483058159045,-773.4375,-30.474845214457,-29.999999999213,17.930257530046
40.653655272096,0,0,-0.859375,2.1983761352357e-18,-773.4375,2.1177685736295e-06,15.63378883003,-773.4375,-30.447997348863,-29.999999988071,17.744159309752
59.964666288796,0,0,-0.85937500000001,6.2115373006228e-19,-773.43750000001,1.2695344738082e-05,15.598514714677,-773.43750000001,-30.426440088015,-29.999999977804,17.580095112888
87.710073034306,0,0,-0.859375,-2.1459062087442e-18,-773.4375,9.8512766920258e-06,15.578953165358,-773.4375,-30.400190575664,-29.999999976623,17.404033569412
132.39432805202,0,0,-0.859375,2.0179712935386e-19,-773.4375,8.2470602151652e-06,15.415466183586,-773.4375,-30.361905036062,-30.000000001105,17.171251717923
182.38433504315,0,0,-0.85938170389089,-8.0477729695894e-19,-773.4435335018,-1.4607592018029e-07,15.374340656297,-773.4435335018,-30.327285271986,-30.000000035434,16.956747490276
245.86344752455,0,0,-0.8593917553102,9.3504908195121e-20,-773.45257977918,8.2830044484672e-06,15.135895333188,-773.45257977918,-30.295137812772,-30.000000051818,16.717672354223
343.63950627276,0,0,-0.85939716171026,-1.370551071782e-19,-773.45744553923,3.2412782876907e-06,14.850965631849,-773.45744553923,-30.244676198627,-30.000000014038,16.400937647133
437.10134917398,0,0,-0.85939321196739,-1.2784456502453e-19,-773.45389077065,2.4302057614511e-06,14.706257906162,-773.45389077065,-30.202467992487,-29.999999967292,16.139819129871
576.00346198321,0,0,-0.85934512323868,2.1733218418037e-19,-773.41061091481,2.3854082935784e-06,14.460653235367,-773.41061091481,-30.147304696223,-29.999999918007,15.796998872759
693.49610156655,0,0,-0.8594102903457,-2.5556348682855e-19,-773.46926131113,3.773423142414e-07,14.185970414846,-773.46926131113,-30.114780528626,-29.999999930305,15.530885465091
825.745974643,0,0,-0.85941122125515,-1.9816288743628e-19,-773.47009912963,3.2765139132876e-06,13.923075723712,-773.47009912963,-30.081134763712,-29.999999980019,15.263421105825
956.94375265519,0,0,-0.85939815011102,-1.2552534175756e-19,-773.45833509992,2.2596672491985e-06,13.780398978797,-773.45833509992,-30.054009941394,-30.000000042947,15.022341940687
1088.2914738179,0,0,-0.85943333445003,4.4644283206617e-20,-773.49000100503,7.6371931415425e-06,13.499371956706,-773.49000100503,-30.02788760898,-30.00000010736,14.793551180626
1235.2352574076,0,0,-0.85940442890695,1.6771205298249e-19,-773.46398601626,3.4498516874487e-06,13.358351332092,-773.46398601626,-30.008558003476,-30.000000139582,14.557718320807
1421.8297695586,0,0,-0.85939463513997,1.0336672457046e-19,-773.45517162597,2.0526633423216e-06,13.172558954885,-773.45517162597,-29.988084419282,-30.000000113133,14.279327409425
1586.7537645621,0,0,-0.85942730671536,-2.8914646089175e-19,-773.48457604382,1.8893538426002e-06,12.853946405724,-773.48457604382,-29.97240547652,-30.000000051419,14.043352326219
1743.1015290239,0,0,-0.85945009865934,-1.9976119155037e-19,-773.5050887934,1.6240674638013e-06,12.735895598998,-773.5050887934,-29.95891320146,-29.999999965196,13.832902985369
1899.6279800209,0,0,-0.85944580936398,-1.4830793988247e-19,-773.50122842758,1.9108246390454e-06,12.43376657526,-773.50122842758,-29.946569043968,-29.999999877015,13.634555364043
2054.3948425251,0,0,-0.8594502823331,3.7934841116643e-20,-773.50525409979,7.5713058035426e-07,12.324846026687,-773.50525409979,-29.93538198887,-29.99999981122,13.44628997399
2208.8595665394,0,0,-0.85941847047877,4.0998606344248e-19,-773.47662343089,1.9034772848008e-06,12.034339318565,-773.47662343089,-29.925205641915,-29.999999784211,13.262860502492
2405.0044398908,0,0,-0.85941956532063,3.3481330109524e-21,-773.47760878856,2.0368385533266e-06,11.916668108246,-773.47760878856,-29.913415682035,-29.999999800444,13.035423994968
2584.5420589552,0,0,-0.85941847630753,5.6926260941804e-20,-773.47662867678,1.552859443118e-06,11.654321309185,-773.47662867678,-29.903599584267,-29.999999846819,12.830001169777
2785.4143099137,0,0,-0.85941125669323,-8.8682937855946e-20,-773.47013102391,2.4089064894397e-06,11.555794880402,-773.47013102391,-29.893588617086,-29.999999944542,12.603111014524
2955.941251406,0,0,-0.8594180976652,-1.6304019570452e-19,-773.47628789868,1.0176242378333e-06,11.28692552855,-773.47628789868,-29.885793455078,-30.000000048265,12.409868469128
3140.0161241192,0,0,-0.85941589753255,-1.6715959927134e-19,-773.4743077793,1.7369686621726e-06,11.177919032428,-773.4743077793,-29.878023945242,-30.000000166808,12.201987456808
3323.1381888053,0,0,-0.85942245992808,-1.7262060891183e-20,-773.48021393528,9.4564510919005e-07,10.885414994582,-773.48021393528,-29.870853941162,-30.000000264493,11.994818292281
3520.3320139639,0,0,-0.85942468626659,-1.083637483854e-19,-773.48221763993,1.3196756135329e-06,10.814346873431,-773.48221763993,-29.863738777567,-30.000000319614,11.77286267895
3708.8249696425,0,0,-0.85941785332823,1.4112510048976e-19,-773.4760679954,1.5011676133491e-06,10.467276623901,-773.4760679954,-29.857425047001,-30.000000329529,11.560066709824
3966.9013249012,0,0,-0.85940185132555,-1.2101559717422e-19,-773.461666193,1.7635557055156e-06,10.32124576921,-773.461666193,-29.849503377373,-30.000000275294,11.27121121201
4225.2726301382,0,0,-0.8594012541585,-9.0182656746446e-20,-773.46112874265,1.2025194068998e-06,9.9703379833691,-773.46112874265,-29.842301565468,-30.000000148173,10.985912451707
4513.964479926,0,0,-0.85939243436081,1.1780346000869e-20,-773.45319092473,1.5569109075418e-06,9.6077424673552,-773.45319092473,-29.835010569071,-29.99999995326,10.674790011111
4825.5921619686,0,0,-0.85939228597793,-8.7567207234869e-20,-773.45305738013,1.3818003155663e-06,9.3459312497142,-773.45305738013,-29.827907759246,-29.999999764477,10.352207241568
5100.4758240216,0,0,-0.85938836448782,-1.1032698252759e-19,-773.44952803904,1.2497584956996e-06,9.1707504669028,-773.44952803904,-29.822221211741,-29.999999630173,10.084557938795
5334.6118841392,0,0,-0.85939261295568,6.2273862282136e-20,-773.45335166011,4.2221450812662e-07,8.8746255354079,-773.45335166011,-29.817748671386,-29.999999567337,9.8700228064722
5556.5726096148,0,0,-0.85937675589346,6.8812838991474e-20,-773.43908030412,1.4426650958413e-06,8.7388959801085,-773.43908030412,-29.813785917142,-29.999999553773,9.6846124599401
5769.3477534185,0,0,-0.85937179130893,-1.690451887267e-19,-773.43461217804,1.0229140666015e-06,8.5624366067819,-773.43461217804,-29.810215990534,-29.999999496668,9.5200936511978
5980.4301948144,0,0,-0.85936823420111,-2.3419519843862e-20,-773.431410781,1.024049640265e-06,8.4524749690206,-773.431410781,-29.806880390005,-29.999999586406,9.3753667560173
6191.7538778438,0,0,-0.85936823819413,-5.5497598704102e-20,-773.43141437471,1.1042106026473e-06,8.301918365499,-773.43141437471,-29.803719428407,-29.999999811655,9.2451646507002
6491.620710913,0,0,-0.85937274650793,9.616412107564e-21,-773.43547185714,9.9457712726421e-07,8.2092096947278,-773.43547185714,-29.799519086257,-30.000000112161,9.0901186322331
6756.130245695,0,0,-0.85937492732462,-4.7825362497416e-20,-773.43743459216,9.558640913925e-07,8.0260476534225,-773.43743459216,-29.796061105284,-30.000000271893,8.9763909750293
7020.9420827994,0,0,-0.85936814253413,-1.7723505617893e-19,-773.43132828072,1.131594585728e-06,7.9720960803881,-773.43132828072,-29.792810517494,-30.000000457399,8.8859860237284
7317.1973427994,0,0,-0.85936831475163,-7.3534224168163e-20,-773.43148327647,8.3905698826501e-07,7.964061003146,-773.43148327647,-29.789400165876,-30.000000620461,8.8050386803256
7569.5369647598,0,0,-0.85936500190475,1.7679459904636e-19,-773.42850171428,1.053828988685e-06,7.7784136475763,-773.42850171428,-29.786664071542,-30.00000073126,8.749691954013
7841.0410955485,0,0,-0.85935492350495,-1.8795190525713e-20,-773.41943115445,8.5804874579581e-07,7.8100994646507,-773.41943115445,-29.78387766865,-30.000000751437,8.7042176868125
8183.6024650321,0,0,-0.85935321614879,-6.6956072185014e-20,-773.41789453391,5.2104914447351e-07,7.8619018904195,-773.41789453391,-29.780570777612,-30.000000381461,8.6597684007983
8451.1984446323,0,0,-0.85935227862769,-6.9487759549585e-20,-773.41705076492,4.8786992546769e-07,7.7856486032896,-773.41705076492,-29.778134816903,-29.999999894147,8.632686666686
8817.5792191735,0,0,-0.85935511100748,3.8430355390787e-20,-773.41959990674,-5.3524865302557e-08,7.6877079024791,-773.41959990674,-29.774987870424,-29.999999280896,8.6032373750466
9184.3787225106,0,0,-0.8593553436526,2.7800797763535e-20,-773.41980928734,3.7984454244013e-07,7.6701911605439,-773.41980928734,-29.772035717637,-29.999999015377,8.5820062314222
9547.0548576813,0,0,-0.85936550676186,-6.3732758890317e-20,-773.42895608567,1.8046377073283e-07,7.7001119406189,-773.42895608567,-29.769289878221,-29.99999923048,8.5662660286795
10045.415020174,0,0,-0.85936549822473,-2.5884856294232e-20,-773.42894840225,3.1090443082689e-07,7.7499917000647,-773.42894840225,-29.765765307568,-29.999999931359,8.5498008960014
10521.785819032,0,0,-0.85936549818939,-1.4878604292381e-20,-773.42894837045,2.7908932071244e-07,7.7755397466237,-773.42894837045,-29.762634262887,-30.000000639347,8.5375650882376
11101.721602532,0,0,-0.85936549818917,-5.350024795709e-20,-773.42894837025,2.45864598711e-07,7.7724316174042,-773.42894837025,-29.759096357599,-30.000001077733,8.5253586009141
11754.693193086,0,0,-0.85936549818917,6.1423064744005e-20,-773.42894837025,2.1817253767876e-07,7.7440742272944,-773.42894837025,-29.755425423491,-30.000000719234,8.514259491911
12681.25532818,0,0,-0.85936198874779,4.1852309675962e-20,-773.42578987301,1.8550683727281e-07,7.7003379017541,-773.42578987301,-29.750696485565,-29.999999224638,8.5015859703411
13608.876411434,0,0,-0.85936198933188,-2.4260052989681e-20,-773.4257903987,1.6389434934727e-07,7.6691762071118,-773.4257903987,-29.746432790888,-29.999998189819,8.490816702752
15102.819442226,0,0,-0.8593671543898,1.4686948382632e-20,-773.43043895082,1.395845790626e-07,7.6404109260716,-773.43043895082,-29.740361409318,-29.999999706395,8.4759148664981
17508.829632747,0,0,-0.8593671542194,-5.6239384866573e-21,-773.43043879746,1.1266296421042e-07,7.6200964314337,-773.43043879746,-29.73214385969,-30.000002635902,8.4567619452304
20922.941320662,0,0,-0.8593671542181,8.5403420395895e-21,-773.43043879629,9.0015549725244e-08,7.6080454968061,-773.43043879629,-29.722788485408,-29.999997525654,8.4356903411776
24340.954924222,0,0,-0.8593671542181,1.1747775304705e-20,-773.43043879629,7.5288691923157e-08,7.6010204070314,-773.43043879629,-29.715292399386,-29.999998180688,8.419368232161
28164.819143734,0,0,-0.8593671542181,-6.7980910362205e-21,-773.43043879629,6.3578780600563e-08,7.5952896113241,-773.43043879629,-29.708479635285,-30.000005143925,8.4049370314669
32808.778035101,0,0,-0.8593671542181,-7.293879199056e-21,-773.43043879629,5.3325051640213e-08,7.5899445442664,-773.43043879629,-29.701878190314,-30.000000359362,8.3911417187503
37247.829495156,0,0,-0.8593671542181,-3.3862605226537e-21,-773.43043879629,4.6121406527019e-08,7.5858764341205,-773.43043879629,-29.696903425667,-29.999988694741,8.3806059990146
44145.881047283,0,0,-0.8593671542181,-2.1951700714141e-21,-773.43043879629,3.8114714272197e-08,7.580851676407,-773.43043879629,-29.69116878914,-30.000004767554,8.367674563958
51597.687922593,0,0,-0.8593671542181,-8.7324078632869e-22,-773.43043879629,3.2250349863906e-08,7.5765814386787,-773.43043879629,-29.68705126185,-30.000050988839,8.3568141431774
59615.439287867,0,0,-0.8593671542181,-1.2377976640722e-21,-773.43043879629,2.7935617848058e-08,7.5728467887289,-773.43043879629,-29.68437647306,-29.999953340808,8.3474562048585
67543.059285882,0,0,-0.85936715421811,3.8298325646632e-21,-773.4304387963,2.4969467508792e-08,7.5697327382102,-773.4304387963,-29.683011103754,-29.999441920134,8.3397947981901
77578.714794177,0,0,-0.8593671542181,2.0079891513355e-21,-773.43043879629,2.2395425369849e-08,7.5663379126641,-773.43043879629,-29.682530321445,-29.997849491612,8.3316489655224
87625.839839737,0,0,-0.8593671542181,1.3543269051949e-21,-773.43043879629,2.0669305881142e-08,7.5633506250808,-773.43043879629,-29.682961564632,-29.99495698323,8.3247183481735
101882.64024031,0,0,-0.8593671542181,-2.0794928119615e-21,-773.43043879629,1.9102076661394e-08,7.5595656586092,-773.43043879629,-29.684454282161,-29.988530452491,8.3163479080477
114458.42130564,0,0,-0.8593671542181,-9.3122817213786e-22,-773.43043879629,1.8238845232469e-08,7.5565179426155,-773.43043879629,-29.686181409679,-29.98081542974,8.3099955875894
126910.9379326,0,0,-0.8593671542181,3.8957998307734e-21,-773.43043879629,1.7649171317147e-08,7.5536285291668,-773.43043879629,-29.688025431523,-29.971476138436,8.3043187538461
130165.50992257,0,0,-0.8593671542181,8.8091818850807e-21,-773.43043879629,1.7528089182669e-08,7.5528679316229,-773.43043879629,-29.688522019139,-29.968719293874,8.3028808772581
130515.90198813,0,0,-0.85936715421811,1.0505590021914e-20,-773.4304387963,1.7518786270337e-08,7.5527804059803,-773.4304387963,-29.688579149282,-29.968394364379,8.3027169493646
130574.81189273,0,0,-0.85936715421811,-0.00019120808813592,-773.4304387963,-1.0956456372955,7.5527662702203,-773.4304387963,-29.688588372167,-29.96834170146,8.3026905094105

